name: AMD Radeon HD 6670, vendor: 1002, model: 6758
name: AMD Radeon HD 6670, vendor: 1002, model: 6758
name: AMD Radeon HD 6700 Green Edition, vendor: 1002, model: 68BF
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 673E
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 68B8
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 68BA
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 68BF
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 68BA
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 68BF
name: AMD Radeon HD 6700 Series, vendor: 1002, model: 673E
name: AMD Radeon HD 6700M Series, vendor: 1002, model: 6740
name: AMD Radeon HD 6700M Series, vendor: 1002, model: 6740
name: AMD Radeon HD 6750 Graphics, vendor: 1002, model: 68BE
name: AMD Radeon HD 6750, vendor: 1002, model: 68BE
name: AMD Radeon HD 6750, vendor: 1002, model: 68BF
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 6738
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 6739
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 6898
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 689B
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 689B
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 6738
name: AMD Radeon HD 6800 Series, vendor: 1002, model: 6739
name: AMD Radeon HD 6800M Series, vendor: 1002, model: 68A8
name: AMD Radeon HD 6800M Series, vendor: 1002, model: 68A8
name: AMD Radeon HD 6850 X2, vendor: 1002, model: 6739
name: AMD Radeon HD 6850, vendor: 1002, model: 6899
name: AMD Radeon HD 6870 X2, vendor: 1002, model: 6738
name: AMD Radeon HD 6870, vendor: 1002, model: 6898
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 6718
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 6719
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 671D
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 671F
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 6718
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 6719
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 671D
name: AMD Radeon HD 6900 Series, vendor: 1002, model: 671F
name: AMD Radeon HD 6900M Series, vendor: 1002, model: 6720
name: AMD Radeon HD 6900M Series, vendor: 1002, model: 6720
name: AMD Radeon HD 7000 series, vendor: 1002, model: 6778
name: AMD Radeon HD 7000 series, vendor: 1002, model: 6778
name: AMD Radeon HD 7000M Series, vendor: 1002, model: 6842
name: AMD Radeon HD 7000M Series, vendor: 1002, model: 6842
name: AMD Radeon HD 7290 Graphics, vendor: 1002, model: 980A
name: AMD Radeon HD 7300 Series, vendor: 1002, model: 68FA
name: AMD Radeon HD 7310 Graphics, vendor: 1002, model: 9809
name: AMD Radeon HD 7310 Graphics, vendor: 1002, model: 9809
name: AMD Radeon HD 7340 Graphics, vendor: 1002, model: 9808
name: AMD Radeon HD 7340 Graphics, vendor: 1002, model: 9808
name: AMD Radeon HD 7350, vendor: 1002, model: 68E1
name: AMD Radeon HD 7350, vendor: 1002, model: 68E4
name: AMD Radeon HD 7350, vendor: 1002, model: 68E5
name: AMD Radeon HD 7350, vendor: 1002, model: 68F9
name: AMD Radeon HD 7350, vendor: 1002, model: 68FA
name: AMD Radeon HD 7400 Series, vendor: 1002, model: 677B
name: AMD Radeon HD 7400 Series, vendor: 1002, model: 6858
name: AMD Radeon HD 7400 Series, vendor: 1002, model: 6859
name: AMD Radeon HD 7400 Series, vendor: 1002, model: 677B
name: AMD Radeon HD 7400A Series, vendor: 1002, model: 6772
name: AMD Radeon HD 7400G, vendor: 1002, model: 9994
name: AMD Radeon HD 7400G, vendor: 1002, model: 99A4
name: AMD Radeon HD 7400M Series, vendor: 1002, model: 6760
name: AMD Radeon HD 7420G, vendor: 1002, model: 9992
name: AMD Radeon HD 7420G, vendor: 1002, model: 9992
name: AMD Radeon HD 7420G, vendor: 1002, model: 99A2
name: AMD Radeon HD 7450, vendor: 1002, model: 6779
name: AMD RADEON HD 7450, vendor: 1002, model: 6779
name: AMD Radeon HD 7450, vendor: 1002, model: 677B
name: AMD Radeon HD 7450M, vendor: 1002, model: 6760
name: AMD Radeon HD 7470M, vendor: 1002, model: 6760
name: AMD Radeon HD 7480D, vendor: 1002, model: 9993
name: AMD Radeon HD 7500 Series, vendor: 1002, model: 675D
name: AMD Radeon HD 7500/7600 Series, vendor: 1002, model: 6742
name: AMD Radeon HD 7500/7600 Series, vendor: 1002, model: 6742
name: AMD Radeon HD 7500/7600 Series, vendor: 1002, model: 6742
name: AMD Radeon HD 7500G, vendor: 1002, model: 990A
name: AMD Radeon HD 7500G, vendor: 1002, model: 9919
name: AMD Radeon HD 7500M/7600M Series, vendor: 1002, model: 6841
name: AMD Radeon HD 7500M/7600M Series, vendor: 1002, model: 6841
name: AMD Radeon HD 7510 Series, vendor: 1002, model: 675F
name: AMD Radeon HD 7510, vendor: 1002, model: 675F
